,title,rating,price,availability
0,A Light in the Attic,3,51.77,1
1,Tipping the Velvet,1,53.74,1
2,Soumission,1,50.1,1
3,Sharp Objects,4,47.82,1
4,Sapiens: A Brief History of Humankind,5,54.23,1
5,The Requiem Red,1,22.65,1
6,The Dirty Little Secrets of Getting Your Dream Job,4,33.34,1
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,1
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,1
9,The Black Maria,1,52.15,1
10,"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,1
11,Shakespeare's Sonnets,4,20.66,1
12,Set Me Free,5,17.46,1
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,1
14,Rip it Up and Start Again,5,35.02,1
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,1
16,Olio,1,23.88,1
17,Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,1
18,Libertarianism for Beginners,2,51.33,1
19,It's Only the Himalayas,2,45.17,1
20,In Her Wake,1,12.84,1
21,How Music Works,2,37.32,1
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,1
23,Chase Me (Paris Nights #2),5,25.27,1
24,Black Dust,5,34.53,1
25,Birdsong: A Story in Pictures,3,54.64,1
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,1
27,Aladdin and His Wonderful Lamp,3,53.13,1
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,40.3,1
29,Wall and Piece,4,44.18,1
30,The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,1
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,1
32,The Elephant Tree,5,23.82,1
33,The Bear and the Piano,1,36.89,1
